"","caseid","government_should_regulate_businesses_wave_1","racial_discrimination_hurts_black_people_wave_1","immigrants_strengthen_country_wave_1","corporations_make_too_much_profit_wave_1","homosexuality_should_be_accepted_wave_1","stricter_environmental_laws_damaging_wave_1","government_wasteful_inefficient_wave_1","poor_people_have_it_easy_wave_1","government_cannot_afford_to_help_needy_wave_1","best_way_peace_military_strength_wave_1","government_should_regulate_businesses_wave_5","racial_discrimination_hurts_black_people_wave_5","immigrants_strengthen_country_wave_5","corporations_make_too_much_profit_wave_5","homosexuality_should_be_accepted_wave_5","stricter_environmental_laws_damaging_wave_5","government_wasteful_inefficient_wave_5","poor_people_have_it_easy_wave_5","government_cannot_afford_to_help_needy_wave_5","best_way_peace_military_strength_wave_5","treat","bot_followers","substantive_question_correct_wave_2","substantive_question_correct_wave_3","substantive_question_correct_wave_4","animal_correct_wave_2","animal_correct_wave_3","animal_correct_wave_4","party_id_wave_1","party_id_weak_strong_wave_1","political_wave_1","freq_twitter_wave_1","bin_maker","percent_co_party","ideo_homogeneity_offline","friends_count_wave_1","gender","education","family_income","birth_year","northeast","north_central","south","west","endtime_wave_5","how_often_visit_twitter_wave_1","how_often_visit_twitter_wave_5","ideology_seven_point_wave_1","ideology_seven_point_wave_5"
"12",12,6,5,7,4,7,1,3,1,1,1,6,7,7,5,7,1,2,1,1,2,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,50,837,2,3,8,1954,0,1,0,0,2017-11-20 16:52:58.233652,1,1,1,2
"13",13,7,6,5,7,7,1,3,1,1,2,7,6,5,7,7,1,2,1,3,2,1,1,1,1,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,85,837,2,5,9,1995,0,0,0,1,2017-11-20 09:27:47.386904,1,2,1,2
"14",14,7,6,7,4,7,1,2,1,1,1,7,6,7,5,7,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,90,837,2,6,10,1943.5,0,1,0,0,2017-11-18 15:23:25.404591,1,2,1,1
"15",15,6,5,7,5,7,1,3,1,2,2,7,6,7,5,6,1,3,1,1,2,1,1,1,1,1,0,1,1,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,35,837,2,6,13,1974,0,0,1,0,2017-11-18 15:18:28.152882,1,1,2,2
"16",16,7,7,7,5,7,1,2,1,1,2,6,7,7,6,7,1,2,1,1,1,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,80,837,1,6,9,1984.5,0,0,1,0,2017-11-18 11:46:23.906221,1,1,2,2
"17",17,6,7,7,7,6,1,4,1,1,4,6,5,6,7,6,1,5,1,1,4,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,40,837,2,5,NA,1943.5,0,0,1,0,2017-11-18 16:09:57.375252,1,1,2,2
"18",18,4,4,4,4,4,4,4,4,4,4,4,5,5,7,7,7,7,5,2,7,1,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",0.981468663611521,50,837,2,NA,1,1964,1,0,0,0,2017-11-18 19:48:29.622255,1,6,2,3
"19",19,7,7,7,6,7,1,2,1,2,2,7,6,7,6,6,1,2,2,1,1,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",1,70,837,2,5,NA,1954,1,0,0,0,2017-11-18 13:25:30.820107,1,1,1,1
"20",20,7,7,7,7,7,1,2,1,2,2,7,7,7,7,7,1,2,2,1,2,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",1,90,837,2,6,NA,1995,0,0,1,0,2017-11-18 19:07:12.630426,1,1,2,1
"21",21,4,5,7,4,7,7,4,4,1,1,7,7,7,1,7,1,5,1,1,1,1,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",0,50,837,1,2,NA,1964,0,0,0,1,2017-11-18 11:45:49.268419,1,1,1,1
"22",22,7,5,6,5,7,1,1,1,2,3,7,5,6,4,7,1,1,1,2,3,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,50,837,1,5,12,1954,0,1,0,0,2017-11-18 20:44:54.326153,1,3,2,2
"23",23,7,6,6,7,7,1,2,1,1,1,7,7,7,7,7,1,5,1,1,1,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,55,837,1,3,6,1954,1,0,0,0,2017-11-19 01:03:02.383986,1,1,2,2
"24",24,6,6,6,7,7,1,5,1,1,1,7,7,7,7,7,1,5,1,1,3,1,0,1,1,1,1,1,1,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",0.931176098314543,65,837,2,5,3,NA,0,0,1,0,2017-11-18 13:35:31.917686,1,1,1,1
"25",25,6,2,6,4,7,1,3,1,1,2,7,2,6,6,7,1,6,1,1,1,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",1,80,837,NA,5,9,1943.5,0,0,0,1,2017-11-18 14:27:56.484344,1,1,2,2
"26",26,7,7,7,4,7,1,2,1,1,1,7,7,7,5,7,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,65,NA,2,6,NA,1974,0,0,0,1,2017-11-20 12:21:20.272873,1,1,1,2
"27",27,7,6,7,7,7,1,1,1,1,1,7,6,7,7,7,1,1,1,1,4,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,100,837,2,4,NA,1954,0,1,1,0,2017-11-18 14:54:46.50972,1,2,1,2
"28",28,7,7,7,7,7,1,4,1,1,1,7,7,7,7,7,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,10,837,2,5,5,1933,0,1,0,0,2017-11-18 13:31:37.110441,1,1,1,1
"29",29,6,6,7,6,7,1,2,2,2,3,6,5,7,5,7,1,3,2,2,3,1,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",1,40,837,2,6,11,1964,1,0,0,0,2017-11-18 16:41:10.174978,1,1,2,2
"30",30,6,6,7,7,7,1,5,1,1,1,7,6,7,7,7,1,5,1,1,1,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",0,NA,837,2,6,NA,NA,0,1,0,0,2017-11-18 18:39:14.820501,1,1,2,2
"31",31,7,7,7,7,7,1,1,3,1,2,7,7,7,6,7,4,3,2,1,2,1,1,1,1,1,1,1,1,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,95,837,2,5,9,1954,0,0,1,0,2017-11-18 11:21:31.144953,1,2,2,2
"32",32,7,7,7,7,7,1,2,1,1,3,7,7,7,7,7,1,3,1,1,2,1,1,0,1,1,1,1,1,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",1,80,837,2,6,12,1943.5,1,0,0,0,2017-11-22 04:26:30.658546,1,1,1,1
"33",33,7,6,6,7,6,1,3,1,1,3,7,6,7,7,7,1,2,1,1,5,1,1,1,1,1,1,1,1,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,5,837,2,4,3,1964,0,0,1,0,2017-11-18 17:07:27.97698,1,1,1,2
"34",34,6,5,7,7,7,1,2,2,1,2,7,6,7,7,7,1,7,2,1,3,1,1,1,1,1,1,1,1,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,95,837,2,5,NA,1964,0,1,0,0,2017-11-18 13:33:16.679499,1,1,1,1
"35",35,7,5,7,5,7,1,3,2,1,3,6,6,6,6,7,1,3,2,1,2,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,50,837,2,6,9,1943.5,0,0,1,0,2017-11-18 12:21:42.635525,1,1,1,2
"36",36,6,6,6,6,7,2,4,2,2,3,6,6,6,6,7,2,5,2,2,2,0,0,NA,NA,NA,NA,NA,NA,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",0.954689754689755,40,837,2,5,9,NA,0,0,1,0,2017-11-27 17:07:49.771355,1,1,2,2
"37",37,7,6,6,7,7,2,1,1,1,3,7,6,6,7,7,1,2,1,1,2,1,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",1,60,837,2,6,8,1964,1,0,0,0,2017-11-18 14:12:57.771969,1,1,2,2
"38",38,7,5,7,4,7,1,1,1,1,2,6,6,7,5,7,2,1,1,1,1,1,0,0,0,NA,0,0,NA,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",0.933903540033262,70,837,2,6,11,1943.5,1,0,0,0,2017-11-26 08:26:32.862757,1,1,2,2
"39",39,6,6,7,7,7,1,2,1,1,1,6,6,7,7,7,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",1,65,837,2,5,NA,1984.5,0,1,0,0,2017-11-18 11:22:58.388357,1,1,1,1
"40",40,6,5,7,5,7,1,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,50,837,2,5,8,1964,0,0,0,1,NA,1,NA,4,NA
"41",41,7,6,7,4,7,2,5,2,2,5,7,6,7,4,7,2,4,2,1,2,1,1,NA,NA,NA,NA,NA,NA,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",1,30,837,2,3,NA,NA,0,1,0,0,2017-11-18 11:38:05.762049,1,3,3,2
"42",42,7,5,7,6,7,1,4,1,1,2,7,6,7,6,7,1,2,2,2,3,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,60,837,2,5,2,1943.5,0,1,0,0,2017-11-18 11:44:25.899149,1,1,2,2
"43",43,7,5,6,5,6,1,1,2,2,4,7,6,6,5,6,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",1,60,837,2,NA,12,1964,0,1,0,0,2017-11-18 17:18:12.697647,1,1,2,2
"44",44,6,2,3,5,6,4,3,4,4,3,5,5,4,5,6,6,NA,6,6,4,1,1,1,1,0,0,1,1,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,75,837,1,6,4,1964,0,1,0,0,2017-11-18 15:36:06.329082,1,1,2,2
"45",45,7,7,7,7,7,2,2,1,1,5,7,7,7,7,7,1,5,1,1,5,1,1,1,1,1,1,0,1,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",0.959242855127811,60,837,2,4,NA,1964,0,0,1,0,2017-11-18 17:52:10.322884,1,1,1,2
"46",46,6,6,6,6,6,2,5,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",1,50,837,2,NA,12,1954,1,0,0,0,NA,1,NA,2,NA
"47",47,7,6,7,7,7,1,4,1,1,3,7,7,7,7,7,1,3,1,1,4,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,40,837,1,5,11,1954,0,0,1,0,2017-11-18 11:33:29.739,1,1,2,2
"48",48,6,5,6,6,5,1,5,1,2,3,6,5,6,6,6,2,3,2,2,5,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,40,837,2,5,4,1954,0,0,1,0,2017-11-20 14:31:32.27532,1,1,2,2
"49",49,6,6,5,4,6,1,2,1,1,2,6,6,5,5,6,1,1,2,1,2,1,0,1,1,0,1,1,1,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,70,837,2,6,12,1943.5,1,0,0,0,2017-11-18 11:34:03.36821,1,1,2,2
"50",50,7,6,7,4,7,1,1,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",0.933903540033262,80,837,2,6,11,1943.5,1,0,0,0,NA,1,NA,2,NA
"51",51,6,7,7,7,7,2,5,2,1,2,7,7,7,7,7,1,3,1,7,3,1,1,1,1,1,0,0,1,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,70,837,2,5,6,1954,0,0,1,0,2017-11-18 12:01:35.629873,1,1,1,1
"52",52,6,6,7,4,7,2,2,2,2,5,7,6,7,5,7,1,3,2,2,5,1,1,0,NA,0,0,NA,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,60,837,1,6,NA,1954,0,0,1,0,2017-11-18 11:31:37.856766,1,1,1,1
"53",53,6,5,7,4,7,1,5,2,5,5,6,6,6,4,7,1,6,2,5,5,1,1,1,0,NA,1,1,NA,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,80,2511,1,6,12,1974,0,0,0,1,2017-11-18 13:04:18.880161,1,1,2,2
"54",54,7,5,6,5,6,1,6,1,2,3,7,5,6,3,4,2,6,3,1,3,1,1,1,1,1,1,1,1,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,85,837,2,3,6,1954,0,0,0,1,2017-11-19 12:09:32.125448,1,1,1,1
"55",55,5,5,6,7,5,2,5,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,65,837,2,5,4,1964,0,0,0,1,NA,1,NA,2,NA
"56",56,7,7,6,6,7,1,1,1,1,3,7,6,7,6,7,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",1,95,837,2,6,9,1984.5,1,0,0,0,2017-11-18 11:55:04.691099,1,1,2,1
"57",57,7,6,7,7,7,1,2,7,1,5,7,7,7,7,7,1,2,2,1,5,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,50,837,2,6,5,1943.5,1,0,0,0,2017-11-18 15:34:00.623419,1,1,1,1
"58",58,6,6,7,5,6,2,3,2,3,3,5,5,6,6,6,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",0,70,837,1,NA,3,1964,0,1,0,0,2017-11-18 14:01:51.197266,1,2,1,1
"59",59,7,6,7,6,7,2,1,1,2,3,7,6,6,5,7,1,2,1,1,3,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,75,837,1,4,9,1954,0,0,1,0,2017-11-20 12:56:13.382046,1,1,1,1
"60",60,6,5,6,5,7,1,2,1,2,4,7,6,6,5,7,1,1,1,1,5,1,0,1,1,0,0,1,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,58,837,2,6,7,1964,0,0,0,1,2017-11-19 09:24:16.435795,1,1,2,2
"61",61,7,6,6,4,7,1,1,1,1,5,7,6,6,4,7,1,1,1,1,5,1,1,1,1,1,1,1,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,80,837,1,6,6,1943.5,0,0,0,1,2017-11-18 20:51:50.310951,1,1,2,2
"62",62,7,7,7,7,7,1,3,1,1,1,6,5,7,7,7,2,3,1,1,2,1,1,1,1,1,1,1,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,60,837,2,6,NA,1984.5,0,1,0,0,2017-11-21 18:44:46.909622,1,1,2,2
"63",63,7,5,4,7,7,1,1,1,1,5,6,5,4,5,7,1,2,2,1,3,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,95,837,1,6,12,1943.5,0,0,0,1,2017-11-19 10:09:22.52466,1,1,1,2
"64",64,6,5,7,6,7,1,3,2,1,1,6,5,7,6,7,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",1,80,837,NA,5,6,1995,0,0,1,0,2017-11-21 05:03:57.738506,1,1,2,2
"65",65,7,5,7,3,6,1,3,1,1,4,7,5,7,3,6,1,3,1,1,2,1,1,0,0,0,1,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,80,837,1,5,12,1984.5,0,0,1,0,2017-11-18 21:15:24.900429,1,1,2,2
"66",66,7,5,6,4,7,1,1,2,1,4,7,5,7,5,7,2,2,1,2,3,1,1,1,0,0,1,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",0.931176098314543,50,837,NA,6,7,1954,0,0,1,0,2017-11-18 12:24:23.406084,1,1,2,2
"67",67,7,7,7,7,7,1,1,1,1,1,7,7,7,7,7,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,45,837,1,5,8,1984.5,0,1,0,0,2017-11-18 13:31:11.52557,1,1,1,1
"68",68,7,7,7,7,7,1,2,1,1,2,7,7,7,7,7,1,3,1,1,1,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,90,837,2,5,8,1964,0,0,0,1,2017-11-18 20:34:38.983932,1,1,2,2
"69",69,7,5,6,5,7,1,2,1,1,3,7,5,7,6,7,1,2,2,1,3,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,90,2511,2,4,13,1954,0,0,0,1,2017-11-20 16:32:17.806198,1,1,2,2
"70",70,5,5,6,6,6,2,7,2,1,6,5,3,6,6,6,2,7,2,2,5,1,1,1,1,1,1,1,1,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",1,80,837,1,4,NA,1954,0,1,0,0,2017-11-18 21:43:19.428499,1,1,3,3
"71",71,5,5,7,2,6,3,5,3,2,5,5,5,7,5,6,2,5,5,2,5,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,40,837,1,6,9,1954,0,1,0,0,2017-11-19 15:33:11.070213,1,1,4,4
"72",72,7,7,7,6,7,1,2,1,1,3,7,7,7,7,7,2,3,1,1,3,1,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,90,837,2,2,NA,1954,0,0,1,0,2017-11-18 19:41:57.062458,1,1,1,2
"73",73,7,7,7,7,7,1,3,1,2,5,7,7,7,7,7,1,3,1,2,3,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",1,95,837,2,3,NA,1974,1,0,0,0,2017-11-18 11:26:34.079187,1,1,2,2
"74",74,7,6,7,7,7,1,2,2,1,2,7,6,7,7,7,1,2,1,1,2,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,90,837,1,5,NA,1964,1,0,0,0,2017-11-19 05:36:56.820765,1,1,1,1
"75",75,7,6,6,7,7,2,5,2,3,4,7,5,7,7,7,2,5,2,1,3,1,1,1,0,0,0,0,1,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,60,837,2,6,9,1984.5,1,0,0,0,2017-11-18 13:22:49.527012,1,1,2,2
"76",76,7,5,6,6,7,1,2,5,1,3,7,5,6,7,7,3,4,4,1,3,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",1,60,837,1,3,3,NA,0,0,1,0,2017-11-18 12:34:23.717241,1,1,3,3
"77",77,5,7,7,4,7,1,3,1,1,2,3,1,7,3,7,1,3,1,1,1,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",1,75,837,1,3,NA,1964,0,0,0,1,2017-11-19 01:52:57.59479,1,1,4,4
"78",78,7,7,7,5,7,1,1,2,1,2,7,7,7,5,7,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,55,837,2,6,NA,1974,0,0,1,0,2017-11-18 18:10:20.242529,1,1,1,1
"79",79,7,5,6,4,7,1,5,2,3,3,7,5,6,4,7,1,2,2,1,2,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",0.978589169171047,90,837,1,5,7,NA,1,0,0,0,2017-11-18 13:43:22.541088,1,1,3,3
"80",80,7,7,7,7,7,1,5,1,1,1,7,7,6,7,7,1,5,1,1,1,0,0,0,0,0,0,0,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",0.992266329103984,70,837,2,6,7,NA,1,0,0,0,2017-11-18 17:04:33.561859,1,1,1,1
"81",81,6,5,6,4,7,2,NA,2,2,2,7,5,6,5,7,2,2,2,3,3,1,1,0,1,0,0,1,0,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",1,50,837,1,5,10,NA,1,0,0,0,2017-11-18 12:41:56.85166,1,1,2,2
"82",82,7,7,7,7,7,1,6,1,1,1,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,20,837,2,2,NA,1943.5,0,0,1,0,2017-11-18 11:52:12.878477,1,1,1,2
"83",83,5,1,1,3,6,6,6,6,7,6,5,1,2,6,6,5,7,6,3,6,1,NA,1,1,1,1,1,1,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",0,50,837,1,5,8,1964,1,0,0,0,2017-11-20 05:49:12.627743,1,1,4,2
"84",84,7,6,7,7,7,1,2,1,1,1,7,6,7,7,7,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,"High News Interest","High Twitter Use","Strong Democrat, High News Interest, High Twitter Use",NA,50,837,2,5,NA,1954,0,0,1,0,2017-11-18 12:09:05.325932,1,1,1,1
